lat,lon,cluster
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
35.86166,104.195397,1
